Site,Size,Packaging_Type,Processing_Rate
"Detroit, MI",S1,Box,3263
"Detroit, MI",S1,Box,3449
"Detroit, MI",S1,Box,3349
"Detroit, MI",S1,Box,3495
"Detroit, MI",S1,Box,3426
"Detroit, MI",S1,Box,3544
"Detroit, MI",S1,Box,3524
"Detroit, MI",S1,Box,3384
"Detroit, MI",S1,Box,3454
"Detroit, MI",S1,Box,3562
"Detroit, MI",S1,Box,3434
"Detroit, MI",S1,Box,3369
"Detroit, MI",S1,Box,3280
"Detroit, MI",S1,Box,3365
"Detroit, MI",S1,Box,3482
"Detroit, MI",S1,Box,3379
"Detroit, MI",S1,Box,3371
"Detroit, MI",S1,Box,3403
"Detroit, MI",S1,Box,3396
"Detroit, MI",S1,Box,3531
"Detroit, MI",S1,Box,3261
"Detroit, MI",S1,Box,3443
"Detroit, MI",S1,Box,3605
"Detroit, MI",S1,Box,3518
"Detroit, MI",S1,Box,3470
"Detroit, MI",S1,Box,3361
"Detroit, MI",S1,Box,3345
"Detroit, MI",S1,Box,3443
"Detroit, MI",S1,Box,3433
"Detroit, MI",S1,Box,3237
"Detroit, MI",S1,Box,3397
"Detroit, MI",S1,Box,3300
"Detroit, MI",S1,Box,3405
"Detroit, MI",S1,Box,3300
"Detroit, MI",S1,Box,3422
"Detroit, MI",S1,Box,3392
"Detroit, MI",S1,Box,3398
"Detroit, MI",S1,Box,3432
"Detroit, MI",S1,Box,3286
"Detroit, MI",S1,Box,3438
"Detroit, MI",S1,Box,3586
"Detroit, MI",S1,Box,3477
"Detroit, MI",S1,Box,3516
"Detroit, MI",S1,Box,3446
"Detroit, MI",S1,Box,3555
"Detroit, MI",S1,Box,3604
"Detroit, MI",S1,Box,3369
"Detroit, MI",S1,Box,3359
"Detroit, MI",S1,Box,3460
"Detroit, MI",S1,Box,3262
"Detroit, MI",S1,Box,3420
"Detroit, MI",S1,Box,3522
"Detroit, MI",S1,Box,3296
"Detroit, MI",S1,Box,3625
"Detroit, MI",S1,Box,3316
"Detroit, MI",S1,Box,3437
"Detroit, MI",S1,Box,3364
"Detroit, MI",S1,Box,3359
"Detroit, MI",S1,Box,3299
"Detroit, MI",S1,Box,3593
"Detroit, MI",S1,Box,3452
"Detroit, MI",S1,Box,3227
"Detroit, MI",S1,Box,3229
"Detroit, MI",S1,Box,3329
"Detroit, MI",S1,Box,3278
"Detroit, MI",S1,Box,3465
"Detroit, MI",S1,Box,3363
"Detroit, MI",S1,Box,3389
"Detroit, MI",S1,Box,3451
"Detroit, MI",S1,Box,3524
"Detroit, MI",S1,Box,3547
"Detroit, MI",S1,Box,3335
"Detroit, MI",S1,Box,3325
"Detroit, MI",S1,Box,3440
"Detroit, MI",S1,Box,3448
"Detroit, MI",S1,Box,3490
"Detroit, MI",S1,Box,3284
"Detroit, MI",S1,Box,3412
"Detroit, MI",S1,Box,3361
